Gioco del Lotto Archivio estrazioni e statistiche (2020)
DATE	Bari					Cagliari					Firenze					Genova					Milano					Napoli					Palermo					Roma					Torino					Venezia					Nazionale
2020-12-31	44	55	41	85	29	31	66	08	02	30	34	72	43	60	09	41	36	72	73	49	13	39	18	24	83	80	78	16	83	65	23	40	11	22	73	46	11	20	41	27	67	32	04	85	88	66	77	20	22	10	55	49	05	45	33
2020-12-29	88	58	67	27	14	58	13	70	83	48	30	90	57	88	21	16	59	74	33	28	71	18	87	85	40	31	54	70	90	51	21	17	30	46	18	54	34	10	65	33	20	58	62	38	51	88	37	45	60	62	58	61	19	26	40
2020-12-28	62	66	89	42	27	16	79	54	82	44	21	07	49	34	13	25	86	54	03	64	61	01	41	37	36	40	32	65	08	10	37	26	54	88	08	65	77	76	59	79	17	23	20	25	89	57	52	36	80	89	10	43	90	18	16
2020-12-24	56	17	30	03	15	60	37	84	30	81	74	15	08	42	55	84	26	04	59	25	54	67	13	46	89	35	20	83	32	22	41	13	02	53	73	58	74	71	50	24	08	60	79	47	72	24	47	55	52	29	10	28	76	63	88
2020-12-22	85	51	74	44	30	82	27	21	06	89	47	46	60	63	28	63	90	40	28	34	05	59	37	53	73	16	78	65	33	83	39	35	36	79	80	67	08	81	49	23	31	02	81	64	18	37	06	82	54	60	85	08	78	48	13
2020-12-19	38	53	50	59	75	59	67	31	15	50	74	25	45	32	17	23	43	58	08	16	48	16	07	25	15	05	79	49	14	76	20	53	24	56	44	56	06	01	73	61	79	06	69	18	88	27	73	63	71	85	14	32	15	17	29
2020-12-17	30	24	69	07	55	16	43	13	49	81	82	50	39	72	48	88	52	60	36	25	15	29	80	42	75	88	85	58	45	75	06	71	90	87	13	70	67	50	57	79	30	23	05	67	40	01	63	34	22	36	46	23	33	27	61
2020-12-15	16	89	13	35	60	26	61	50	17	83	17	88	54	41	06	25	35	11	01	70	87	76	55	18	09	70	15	58	62	31	84	25	89	62	31	85	07	31	78	16	16	86	48	75	43	87	45	44	61	65	65	41	34	90	08
2020-12-12	29	27	11	06	89	14	63	54	66	87	84	60	51	47	40	11	20	48	75	64	28	78	64	21	27	64	36	63	80	59	44	32	30	41	23	86	44	11	57	50	63	46	71	07	89	74	87	81	16	38	34	55	76	51	88
2020-12-10	80	71	22	85	17	18	84	02	37	62	18	17	66	30	46	19	26	01	69	17	05	84	29	81	61	19	49	80	16	09	51	85	84	29	40	03	53	17	64	58	10	18	33	36	43	38	07	81	20	15	10	64	13	09	55
2020-12-09	30	74	23	68	65	26	30	89	88	03	20	33	70	51	39	58	66	87	27	35	32	41	52	25	89	69	54	75	68	15	15	78	60	24	90	15	52	04	24	55	11	50	05	30	48	23	52	03	72	68	13	37	53	39	12
2020-12-05	21	65	07	84	13	71	65	72	89	24	76	68	71	35	34	02	28	62	73	79	49	48	47	24	61	28	48	25	58	44	48	28	43	53	34	09	38	84	33	51	39	03	66	60	30	30	53	27	38	58	78	31	82	75	03
2020-12-03	27	31	12	54	68	54	63	16	57	73	34	54	62	53	39	88	79	33	39	19	14	34	51	50	47	71	82	13	77	05	01	24	51	71	65	79	15	80	04	08	88	55	14	50	03	25	85	27	55	81	44	64	45	54	68
